id_vehiculo;codigbus;matricul;fechamat;matriculacion_planner;edad;numempre;nomempre;bastidor;capacidad;paxdepie;paxsentados;paxpmr;plat_pmr;WC;autoport;marca;modelo;carrocero;categoria;clase;longitud;numcv;tara;cilindrada;potencia;nvl_emisiones;escolar;tipo;subtipo;uso;tall_kilom;tal_feckm;totkilom;activo;dns_vehiculo;dispositivo;combustible
1;1000;1652KTX;2019-02-26;2019-02-26;3;3;Viajes Transvia;YV1XZ72VDK2120951;;;;;;;;VOLVO;XC 40;;;;;;;;;;;TURISMO;;;;;25233;1;transvia;;
2;1001;4975KVS;2019-03-27;2019-03-27;3;3;Viajes Transvia;YV1MZ70V1K2184208;;;;;;;;VOLVO;V 40 CROSS COUNTRY;;;;;;;;;;;TURISMO;;DISCRECIONAL;;;0;1;transvia;;
3;1002;8387LBJ;2019-09-26;2019-09-26;3;3;Viajes Transvia;YV1MZ70V1K2187434;;;;;;;;VOLVO;V 40 CROSS COUNTRY;;;;;;;;;;;TURISMO;;DISCRECIONAL;;;30314;1;transvia;;
4;1003;5943LCM;2019-11-18;2019-11-18;3;3;Viajes Transvia;YV1ZZA8TCL1037937;;;;;;;;VOLVO;V 60 CROSS COUNTRY;;;;;;;;;;;TURISMO;;DISCRECIONAL;;;0;1;transvia;;
5;127B;7390JMH;2016-03-07;2016-03-07;6;19;Empleadas de Hogar;VNE7257R200001462;;;;;;;;;;;;;;;;;;;;NORMAL;61 Plazas;USO GENERAL;;;0;1;transvia;;
6;127C;7122JXT;2017-03-27;2017-03-27;5;19;Empleadas de Hogar;VNE7257R800001935;;;;;;;;IVECO;5522;;;;;;;;;;;NORMAL;57 Plazas;USO GENERAL;;;0;1;transvia;;
7;150B;1746JHV;2015-09-02;2015-09-02;7;19;Empleadas de Hogar;YS2K4X20001894846;;;;;;;;;;IRIZAR;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
8;150C;9816GFF;2008-06-05;2008-06-05;14;19;Empleadas de Hogar;YS2K4X20001860596;;;0;;;;;;;IRIZAR;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
9;154B;2055HVK;2014-01-23;2014-01-23;8;19;Empleadas de Hogar;WMARR4ZZ9EC018723;65;;65;;;;;;;BEULAS;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
10;2775;9440JMJ;2016-03-09;2016-03-09;6;19;Empleadas de Hogar;WMARR4ZZ5FC020891;;;;;;;;;;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
11;173B;9759DBL;2004-10-06;2004-10-06;18;19;Empleadas de Hogar;WEB63420011000298;;;;;;;;MERCEDES BENZ;OC 500 RF-1842;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
12;222;6945HXS;2014-06-09;2014-06-09;7;2;Transvia;;;;;;;;;;;IRIZAR;;;;;;;;;;NORMAL;;USO GENERAL;;;565632;1;transvia;;
13;222B;2294GVP;2010-04-09;2010-04-09;12;19;Empleadas de Hogar;YV3S5P725AA139788;61;0;61;0;;;;VOLVO;SIN ASIGNAR;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
14;222D;8936CGS;2003-04-11;2003-04-11;19;19;Empleadas de Hogar;YV3R8G1183A002224;54;0;0;0;;;;VOLVO;SIN ASIGNAR;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
15;222E;4093CJR;2003-06-20;2003-06-20;19;19;Empleadas de Hogar;YV3R8G1133A002020;55;0;0;0;;;;VOLVO;SIN ASIGNAR;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
16;222F;0389JSP;2016-09-12;2016-09-12;6;19;Empleadas de Hogar;NLRTMG100GA005081;;;0;;;;;;;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
17;222G;4320JZX;2017-06-14;2017-06-14;5;19;Empleadas de Hogar;ZCFC270D205144339;;;;;;;;;;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
18;2273;1379KCJ;2017-08-03;2017-08-03;5;19;Empleadas de Hogar;WEB63243113278272;;;;;;;;MERCEDES BENZ;TOURING;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
19;22LT;57JE02;;;;31;Luisa Todi;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;transvia;;
20;23LT;15OT64;;;;31;Luisa Todi;;;;;;;;;;;;;;;;;;;;;;;;427000;2018-02-20 00:00:00;427000;1;transvia;;
21;258B;8930FJN;2006-12-19;2006-12-19;16;19;Empleadas de Hogar;YV3R8G1226A110786;57;;57;;;;;;;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
22;258C;6402GPS;2009-09-25;2009-09-25;13;19;Empleadas de Hogar;WMAR33ZZ58C010974;58;;58;;;;;;;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
23;258D;3934GPT;2009-09-28;2009-09-28;13;19;Empleadas de Hogar;YV3R8M9219A130924;61;;61;;;;;;;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
24;258E;1086HTG;2013-10-22;2013-10-22;9;19;Empleadas de Hogar;YV3T2T122DA161590;61;;61;;;;;;;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
25;2741B;8387JDS;2015-04-08;2015-04-08;7;19;Empleadas de Hogar;WAGP11ZZ8640000896;;;;;;;;;;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
26;2776;6394JXJ;2017-03-09;2017-03-09;5;19;Empleadas de Hogar;WMARR4ZZ1GC021814;;;;;;;;;;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
27;2777;7984KHN;2018-02-20;2018-02-20;4;19;Empleadas de Hogar;YS2K6X20001904544;;;;;;;;;;BEULAS;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
28;2778;2456KJX;2018-04-05;2018-04-05;4;19;Empleadas de Hogar;YV3T2U822HA184806;;;;;;;;;;SUNSUNDEGUI;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
29;2779;5535KHX;2018-02-28;2018-02-28;4;19;Empleadas de Hogar;VS916AD00H1016093;;;;;;;;;;IRIZAR;;;;;;;;;;NORMAL;73 Plazas;USO GENERAL;;;0;1;transvia;;
30;572B;1871HHL;2011-12-14;2011-12-14;11;19;Empleadas de Hogar;JTDKN36U301419959;5;0;5;0;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
31;572D;7222KDJ;2017-09-29;2017-09-29;5;19;Empleadas de Hogar;VF73DBHZTHJ794351;5;0;0;0;;;;CITROEN;C 4 PICASSO;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
32;572E;8391JHD;2015-07-28;2015-07-28;7;19;Empleadas de Hogar;SB1ZS3JE90E177991;5;0;0;0;;;;TOYOTA;SIN ASIGNAR;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
33;572H;9038JVF;2009-06-19;2009-06-19;13;19;Empleadas de Hogar;KMHDC81TP9U024172;5;0;0;0;;;;HYUNDAI;I30 CW;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
34;572J;1166JSD;2016-08-10;2016-08-10;6;19;Empleadas de Hogar;KNAHT815AG7161695;5;0;0;0;;;;;;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
35;572K;0869HTF;2013-10-18;2013-10-18;9;19;Empleadas de Hogar;JTDZS3EU703048639;5;0;0;0;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
36;572M;7228HNX;2013-02-19;2013-02-19;9;19;Empleadas de Hogar;SB1MS3JE00E013460;5;0;0;0;;;;TOYOTA;SIN ASIGNAR;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
37;573N;2527KGV;2018-01-16;2016-03-09;6;19;Empleadas de Hogar;KMHC851CGHU044928;5;0;0;0;;;;;;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
38;572Ñ;5825KPJ;2018-09-18;2018-09-18;4;19;Empleadas de Hogar;JTDZS3EU60J031472;5;;5;;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;DISCRECIONAL;;;0;1;transvia;;
39;572P;6716HGR;2011-10-18;2011-10-18;11;19;Empleadas de Hogar;JTDKN36U801410240;5;0;0;0;;;;TOYOTA;SIN ASIGNAR;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
40;572Q;1202KSK;2018-12-20;2018-12-20;4;19;Empleadas de Hogar;KNACB81CGK5243225;5;0;0;0;;;;;;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
41;572R;4664HYY;2014-08-25;2014-08-25;8;19;Empleadas de Hogar;JTDKN36U901836194;5;0;0;0;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
42;572V;9168HXT;2014-06-11;2014-06-11;8;19;Empleadas de Hogar;JTDKN36U301824221;5;0;0;0;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
43;572W;2350HZS;;;;19;Empleadas de Hogar;JTDKN36U801860728;5;0;0;0;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
44;572Z;6394HTR;2013-11-25;2013-11-25;9;19;Empleadas de Hogar;VF38ERHF8DL024813;5;0;5;0;;;;;;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
45;573C;4958KPJ;2018-09-18;2018-09-18;4;19;Empleadas de Hogar;JTDZS3EU20J031467;5;0;0;0;;;;;;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
46;573D;1430HKL;2012-05-02;2012-05-02;10;19;Empleadas de Hogar;JTDKN36U105423016;5;0;5;0;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
47;573F;8756JPB;2016-05-25;2016-05-25;6;19;Empleadas de Hogar;JTDZS3EU90J008414;5;0;0;0;;;;;;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
48;573H;4404KFF;2017-11-08;2017-11-08;5;19;Empleadas de Hogar;JTDZS3EUX0J020748;5;0;0;0;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
49;573I;5099JKZ;2015-12-30;2015-12-30;7;19;Empleadas de Hogar;UU17SDCJ554488628;5;0;0;0;;;;;;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
50;573Ñ;1362HGS;2011-10-19;2011-10-19;11;19;Empleadas de Hogar;VF7RDRHF8BL539187;5;;5;;;;;CITROEN;C 5;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
51;573T;7431JSG;2009-09-01;2009-09-01;13;19;Empleadas de Hogar;WDD2040061A320568;5;0;0;0;;;;MERCEDES BENZ;C 220 CDI;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
52;573V;1901JBZ;2015-01-07;2015-01-07;7;19;Empleadas de Hogar;JTDZS3EU503102827;5;0;0;0;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
53;573W;7082GTJ;2010-02-12;2010-02-12;12;19;Empleadas de Hogar;VF7CH9HXC9J332694;5;0;0;0;;;;CITROEN;XSARA PICASSO;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
54;573Z;0189HFR;2011-07-26;2011-07-26;11;19;Empleadas de Hogar;VF7UE9HR8BJ720330;5;;5;;;;;CITROEN;C 4;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
55;574C;4677JRS;2016-07-22;2016-07-22;6;19;Empleadas de Hogar;JTHBH5D2005053776;5;0;0;0;;;;;;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
56;574E;5991KMV;;;;19;Empleadas de Hogar;KMHC851CGJU078274;5;0;0;0;;;;;;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
57;574H;6073JSP;2016-09-13;2016-09-13;6;19;Empleadas de Hogar;KNAHU811AG7163255;5;0;0;0;;;;;;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
58;574I;3830KCX;2017-09-07;2017-09-07;5;19;Empleadas de Hogar;JTDZS3EU50J020091;5;0;0;0;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
59;574J;2149LCR;2013-12-03;2013-12-03;9;19;Empleadas de Hogar;VSSZZZ5PZER001771;5;0;0;0;;;;SEAT;ALTEA XL;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
60;574K;8033KHF;2018-01-31;2018-01-31;4;19;Empleadas de Hogar;UU1JSDE9659796379;5;0;0;0;;;;DACIA;LODGY;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
61;574L;9102KWW;2019-05-09;2019-05-09;3;19;Empleadas de Hogar;UU1J9220163095838;5;0;0;0;;;;DACIA;LODGY;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
62;574M;8577JWC;2017-01-11;2017-01-11;5;19;Empleadas de Hogar;JTDZS3EU10J014708;5;0;0;0;;;;TOYOTA;PRIUS;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
63;574Ñ;9777JRN;;;;19;Empleadas de Hogar;JTDKN36UX05224398;5;;5;;;;;;;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
64;574O;6669JBZ;2015-01-09;2015-01-09;7;19;Empleadas de Hogar;UU1JSDAC652037695;;;;;;;;DACIA;LODGY;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
65;574Q;8754KXK;2019-05-29;2019-05-29;3;19;Empleadas de Hogar;VF7DDYHYSKJ669806;5;0;5;0;;;;CITROEN;SIN ASIGNAR;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
66;574T;6754KWX;2014-11-14;2014-11-14;8;19;Empleadas de Hogar;SB1ZS3JE40E122364;5;0;0;0;;;;;;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
67;574U;1720KMJ;2018-06-28;2018-06-28;4;19;Empleadas de Hogar;KNACC81CGJ5168070;5;0;5;0;;;;;;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
68;574V;7889JJT;2015-10-29;2015-10-29;7;19;Empleadas de Hogar;WF0JXXWPCJFS23764;5;;5;;;;;FORD;C-MAX;;;;;;;;;;;TURISMO;;;;;0;1;transvia;;
69;574X;9159KNX;2018-08-28;2018-08-28;4;19;Empleadas de Hogar;KMHC751CGJU095368;5;;5;;;;;;;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
70;575B;2096JNS;2016-05-04;2016-05-04;6;19;Empleadas de Hogar;TMBJG7NP3G7079681;;;;;;;;SKODA;SUPERB;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
71;575C;7940HYV;2014-08-08;2014-08-08;8;19;Empleadas de Hogar;NMTDM26R70R013976;;;;;;;;TOYOTA;VERSO 2.0 D4;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
72;575D;1642JVG;2016-11-30;2016-11-30;6;19;Empleadas de Hogar;VF3LCBHZ3GS304471;;;;;;;;;;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
73;575E;8139HJH;;;;19;Empleadas de Hogar;;;;;;;;;VOLKSWAGEN;PASSAT;;;;;;;;;;;TURISMO;;DISCRECIONAL;;;0;1;transvia;;
74;575F;0371HKY;;;;19;Empleadas de Hogar;;;;;;;;;SKODA;OCTAVIA;;;;;;;;;;;TURISMO;;DISCRECIONAL;;;0;1;transvia;;
75;575G;8162HZW;;;;19;Empleadas de Hogar;;;;;;;;;VOLKSWAGEN;PASSAT;;;;;;;;;;;TURISMO;;DISCRECIONAL;;;0;1;transvia;;
76;63LT;27SA37;;;;31;Luisa Todi;;;;;;;;;;;;;;;;;;;;;;;USO GENERAL;132919;2018-05-17 00:00:00;132919;1;transvia;;
77;64LT;27SA36;;;;31;Luisa Todi;;;;;;;;;;;;;;;;;;;;;;;USO GENERAL;;;0;1;transvia;;
78;65LT;62TH57;;;;31;Luisa Todi;;;;;;;;;;;;;;;;;;;;;;;USO GENERAL;;;0;1;transvia;;
79;66LT;40TR68;;;;31;Luisa Todi;;;;;;;;;;;;;;;;;;;;;;;USO GENERAL;25300;2018-02-23 00:00:00;25300;1;transvia;;
80;72LT;45VC28;;;;31;Luisa Todi;;;;;;;;;;;;;;;;;;;;;;;USO GENERAL;;;0;1;transvia;;
81;73LT;40VP01;2018-10-31;2018-10-31;4;31;Luisa Todi;;;;;;;;;;;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
82;81LT;13ZL32;2019-10-31;2019-10-31;3;31;Luisa Todi;;;;;;;;;;;;;;;;;;;;;NORMAL;;DISCRECIONAL;;;0;1;transvia;;
83;RA00;AMBULANCIA;;;;2;Transvia;;;;;;;;;;;;;;;;;;;;;AMBULANCIA;Ambulancia;USO GENERAL;;;0;1;transvia;;
84;996;5263KDJ;2017-09-29;2017-09-29;4;3;Viajes Transvia;;;;;;;;;VOLVO;V 60 CROSS COUNTRY;;;;;;;;;;;TURISMO;;;;;19705;1;transvia;;
85;999;5364KSM;2018-12-26;2018-12-26;4;3;Viajes Transvia;YV1MZ70V1K2178628;;;;;;;;VOLVO;V 40 CROSS COUNTRY;;;;;;;;;;;TURISMO;;USO GENERAL;;;44534;1;transvia;;
86;A102;V4778EN;1993-09-27;1993-09-27;29;4;Cave Talleres;WV2ZZZ7AZMH006780;2;0;0;0;;;;;;;;;;;;;;;;TURISMO;;;533382;2017-12-11 00:00:00;1552175;1;transvia;;
87;A107;9691BYB;2002-06-06;2002-06-06;20;4;Cave Talleres;WDB4633231X133204;5;0;0;0;;;;MERCEDES BENZ;SIN ASIGNAR;;;;;;;;;;;TURISMO;;;242109;2017-12-09 00:00:00;1242355;1;transvia;;
88;A109;0723GJR;2008-11-24;2008-11-24;14;4;Cave Talleres;NLTHNJ45L01000253;36;0;35;0;;;;TEMSA;OPALIN 8.4;;;;;;;;;;;MICROBUS;Micro 35 Plazas;;741998;2017-12-22 00:00:00;2794384;1;transvia;480 top;
89;A110;5597GMJ;1990-05-29;1990-05-29;32;4;Cave Talleres;WDB1241331B255389;5;0;0;0;;;;MERCEDES BENZ;SIN ASIGNAR;;;;;;;;;;;TURISMO;;USO GENERAL;;;0;1;transvia;;
90;A114;5325BSL;2002-01-31;2002-01-31;20;4;Cave Talleres;WME01MC011H114505;2;;2;;;;;DAIMLER CRYSLER;SMART;;;;;;;;;;;TURISMO;;;370000;2017-06-05 00:00:00;370000;1;transvia;;
91;A115;3818CPR;2003-12-18;2003-12-18;19;4;Cave Talleres;WME4503321J056204;;;;;;;;;;;;;;;;;;;;TURISMO;;;37300;2017-10-11 00:00:00;37300;1;transvia;;
92;A358;0942LBY;2019-10-22;2019-10-22;3;4;Cave Talleres;WDB907155KN021168;30;;29;;;;;;;DYPETY;;;;;;;;;;MICROBUS;Micro 30 Plazas;DISCRECIONAL;30017;2020-03-13 00:00:00;200876;1;transvia;;
93;D101;A4046EG;1992-11-13;1992-11-13;30;6;Medtrast;1FDNK74P2NVA15461;34;0;34;0;;;;FORD;;CARROZADO TURÍSTICO;;;9.50;;6915;6600;0;;No;Urbano;Turístico;;316124;2017-11-22 00:00:00;299000;1;transvia;;Diésel
94;D112;8584GHK;2008-09-12;2008-09-12;14;6;Medtrast;WDB9066571S234745;19;0;19;0;;;No;MERCEDES BENZ;ALVILASA;TANGO;;B;7.35;;3620;2987;135;EURO IV;Si;Discrecional;Microbus;;544900;2017-11-21 00:00:00;2594379;1;transvia;480 top;Diésel
95;D113;8589GHK;2008-09-12;2008-09-12;14;6;Medtrast;WDB9066571S234744;19;0;19;0;;;No;MERCEDES BENZ;ALVILASA;TANGO;;B;7.35;;3620;2987;135;EURO IV;Si;Discrecional;Microbus;;631030;2017-11-28 00:00:00;685000;1;transvia;480 top;Diésel
96;D299;1459GFG;2008-06-05;2008-06-05;14;6;Medtrast;ZGA690M000E000861;43;0;43;0;;;No;IVECO;MIDI STAR;BEULAS;;III;10.31;;10550;5880;220;;Si;Discrecional;Midibus;;622439;2017-12-19 00:00:00;2680469;1;transvia;480 top;Diésel
97;D313;3815JHW;2015-09-08;2015-09-08;7;6;Medtrast;WDB9061551N619391;19;0;19;0;;;Si;MERCEDES BENZ;SPICA;MERCEDES BENZ;M3;B;7.74;;3735;2987;140;EURO VI A;Si;Discrecional;Microbus;;199964;2017-11-27 00:00:00;2288331;1;transvia;480 top;Diésel
98;D314;3876JHW;2015-09-08;2015-09-08;7;6;Medtrast;WDB9061551N620110;19;0;19;0;;;Si;MERCEDES BENZ;SPICA;MERCEDES BENZ;M3;B;7.74;;3735;2987;140;EURO VI A;Si;Discrecional;Microbus;;184800;2017-12-13 00:00:00;2265530;1;transvia;480 top;Diésel
99;D325;0159CRR;2004-01-28;2004-01-28;18;6;Medtrast;WDB9056131R536160;24;0;24;0;;;Si;MERCEDES BENZ;SPRINTER;MERCEDES BENZ;;III;7.56;;4330;2685;115;;Si;Discrecional;Microbus;USO GENERAL;703177;2017-11-27 00:00:00;735232;1;transvia;;Diésel
100;SD337;8740KGV;2018-01-18;2018-01-18;3;6;Medtrast;LA6A1EAK3HB109136;39;0;39;0;;;Si;CUMMINS;C10;KING LONG;M3;III;9.90;;11300;6700;233;EURO VI C;Si;Discrecional;Normal;;183775;2020-02-22 00:00:00;233597;1;transvia;480 top;Diésel
101;D357;0320LBY;2019-10-22;2019-10-22;3;6;Medtrast;LA6A1EAK7JB109176;39;0;39;0;;;Si;CUMMINS;C10;KING LONG;M3;III;9.90;;11300;6700;233;EURO VI C;Si;Discrecional;Midibus;DISCRECIONAL;38637;2020-03-05 00:00:00;248369;1;transvia;;Diésel
102;D361;3575BSX;2002-02-20;2002-02-20;20;6;Medtrast;WMAA51ZZZ2S000035;54;0;54;0;;;No;MAN;TOURING;NOGE;;II;12.93;;13830;12816;338;;No;Discrecional;Normal;DISCRECIONAL;585653;2020-02-26 00:00:00;623059;1;transvia;;Diésel
103;E001;H0562BBB;1949-06-14;1949-06-14;73;10;Autos Diamond;WFC2;7;;7;;;;;ROLLS ROYCE;SILVER WRAITH;;;;;;;;;;;TURISMO;;;33787;2017-09-08 00:00:00;1034978;1;transvia;;
104;E002;H8045BBB;1958-01-01;1958-01-01;64;10;Autos Diamond;58N090786;6;;6;;;;;CADILLAC;SERIE 62 SEDAN;;;;;;;;;;;TURISMO;;;88124;2017-09-08 00:00:00;1085662;1;transvia;;
105;E003;H8079BBB;1978-01-01;1978-01-01;44;10;Autos Diamond;6B69S8Q291684;6;;6;;;;;CADILLAC;FLEETWOD BROUGH;;;;;;;;;;;TURISMO;;;52986;2017-05-05 00:00:00;52986;1;transvia;;
106;E004;H8044BBB;1979-01-01;1979-01-01;43;10;Autos Diamond;9Y82S621055;6;;6;;;;;LINCOLN;CONTINENTAL;;;;;;;;;;;TURISMO;;;4119;2017-07-05 00:00:00;4171;1;transvia;;
107;E005;4125DZR;2000-01-02;2000-01-02;22;10;Autos Diamond;1FMNU43S3YEE17203;8;;8;;;;;FORD;EXCURSION;;;;;;;;;;;TODOTERRENO;;USO GENERAL;122333;2017-06-15 00:00:00;122333;1;transvia;;
108;E613;4482HFY;2011-08-18;2011-08-18;11;10;Autos Diamond;WDF63981513679792;6;;6;;;;;MERCEDES BENZ;VIANO;;;;;;;;;;;TURISMO;Monovolumen  8p;VTC;211651;2017-10-16 00:00:00;2286851;1;transvia;480 top;
109;E641;7078JLG;2016-01-20;2016-01-20;6;10;Autos Diamond;WDD2120011B278447;5;;5;;;;;MERCEDES BENZ;E 220 BLUETEC;;;;;;;;;;;TURISMO;Turismo Mercedes E;VTC;160150;2017-12-01 00:00:00;2295196;1;transvia;480 top;
110;E642;7143JLG;2016-01-20;2016-01-20;6;10;Autos Diamond;WDD2120011B273309;5;;5;;;;;MERCEDES BENZ;E 220 BLUETEC;;;;;;;;;;;TURISMO;Turismo Mercedes E;VTC;121577;2017-12-29 00:00:00;2263303;1;transvia;480 top;
111;E651;5053JXT;2017-03-27;2017-03-27;5;10;Autos Diamond;WF0EXXWPCEGS31416;5;;4;;;;;FORD;MONDEO BA7;;;;;;;;;;;TURISMO;;VTC;0;2020-03-06 00:00:00;1198147;1;transvia;480 top;
112;E652;5263JXT;2017-03-27;2017-03-27;5;10;Autos Diamond;WF0EXXWPCEGS31406;5;;5;;;;;FORD;MONDEO BA7;;;;;;;;;;;TURISMO;;VTC;86150;2017-12-13 00:00:00;207717;1;transvia;480 top;
113;E660;3580KHV;2018-02-27;2018-02-27;4;10;Autos Diamond;WF0EXXWPCEJY06736;5;;5;;;;;FORD;MONDEO;;;;;;;;;;;TURISMO;;VTC;211684;2020-02-26 00:00:00;2072689;1;transvia;480 top;
114;E661;3829KHV;2018-02-27;2018-02-27;4;10;Autos Diamond;WF0EXXWPCEJY06737;5;;5;;;;;FORD;MONDEO;;;;;;;;;;;TURISMO;;VTC;187074;2020-03-02 00:00:00;2077712;1;transvia;480 top;
115;E669;7479KMX;2018-07-19;2018-07-19;4;10;Autos Diamond;WF0EXXWPCEJM76297;5;;5;;;;;FORD;MONDEO BA7;;;;;;;;;;;TURISMO;;VTC;201500;2020-03-06 00:00:00;1048892;1;transvia;480 top;
116;E670;7521KMX;2018-07-19;2018-07-19;4;10;Autos Diamond;WF0EXXWPCEJM76296;5;;5;;;;;FORD;MONDEO BA7;;;;;;;;;;;TURISMO;;VTC;188813;2020-02-17 00:00:00;37304;1;transvia;480 top;
117;E671;7558KMX;2018-07-19;2018-07-19;4;10;Autos Diamond;WF0EXXWPCEJM76298;5;;5;;;;;FORD;MONDEO BA7;;;;;;;;;;;TURISMO;;VTC;190009;2020-03-02 00:00:00;44478;1;transvia;480 top;
118;E673;7353KNM;2018-08-07;2018-08-07;4;10;Autos Diamond;WF0EXXWPCEJM05485;5;;5;;;;;FORD;MONDEO;;;;;;;;;;;TURISMO;;VTC;127475;2019-12-26 00:00:00;2038899;1;transvia;480 top;
119;I002;ALBACETE,1;0001-01-01;;;17;INTERCAVE;;0;0;0;0;;;;SIN ASIGNAR;SIN ASIGNAR;;;;;;;;;;;SIN ASIGNAR;;USO GENERAL;;;0;1;transvia;;
120;I003;C/ALBACETE;0001-01-01;;;17;INTERCAVE;;0;0;0;0;;;;SIN ASIGNAR;SIN ASIGNAR;;;;;;;;;;;SIN ASIGNAR;;USO GENERAL;;;0;1;transvia;;
121;I004;C/SANVTE.;0001-01-01;;;17;INTERCAVE;;0;0;0;0;;;;SIN ASIGNAR;SIN ASIGNAR;;;;;;;;;;;SIN ASIGNAR;;USO GENERAL;;;0;1;transvia;;
122;I005;CAMINOBOR;0001-01-01;;;17;INTERCAVE;;0;0;0;0;;;;SIN ASIGNAR;SIN ASIGNAR;;;;;;;;;;;SIN ASIGNAR;;USO GENERAL;;;0;1;transvia;;
123;I006;P.IND.FTE.;0001-01-01;;;17;INTERCAVE;;0;0;0;0;;;;SIN ASIGNAR;SIN ASIGNAR;;;;;;;;;;;SIN ASIGNAR;;USO GENERAL;;;0;1;transvia;;
124;I019;C/MAESTRO;0001-01-01;;;17;INTERCAVE;;0;0;0;0;;;;SIN ASIGNAR;SIN ASIGNAR;;;;;;;;;;;SIN ASIGNAR;;USO GENERAL;;;0;1;transvia;;
125;I010;MENEND.PID;0001-01-01;;;17;INTERCAVE;;0;0;0;0;;;;SIN ASIGNAR;SIN ASIGNAR;;;;;;;;;;;SIN ASIGNAR;;USO GENERAL;;;0;1;transvia;;
